title,rating,clusters
Toy Story (1995),3.92093023255814,1
Jumanji (1995),3.4318181818181817,4
Grumpier Old Men (1995),3.2596153846153846,4
Waiting to Exhale (1995),2.357142857142857,3
Father of the Bride Part II (1995),3.071428571428572,0
Heat (1995),3.9460784313725488,1
Sabrina (1995),3.185185185185185,0
Tom and Huck (1995),2.875,0
Sudden Death (1995),3.125,0
GoldenEye (1995),3.496212121212121,4
"American President, The (1995)",3.6714285714285713,4
Dracula: Dead and Loving It (1995),2.421052631578948,3
Balto (1995),3.125,0
Nixon (1995),3.8333333333333335,1
Cutthroat Island (1995),3.0,0
Casino (1995),3.9268292682926833,1
Sense and Sensibility (1995),3.776119402985074,1
Four Rooms (1995),3.7,4
Ace Ventura: When Nature Calls (1995),2.727272727272727,0
Money Train (1995),2.5,3
Get Shorty (1995),3.49438202247191,4
Copycat (1995),3.2222222222222223,4
Assassins (1995),3.125,0
Powder (1995),3.125,0
Leaving Las Vegas (1995),3.625,4
Othello (1995),3.5,4
Now and Then (1995),3.333333333333333,4
Persuasion (1995),4.227272727272728,1
"City of Lost Children, The (Cité des enfants perdus, La) (1995)",4.0131578947368425,1
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.0,0
Dangerous Minds (1995),3.1842105263157894,0
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),3.983050847457627,1
Babe (1995),3.65234375,4
Dead Man Walking (1995),3.835820895522388,1
It Takes Two (1995),2.125,3
Clueless (1995),3.2932692307692313,4
"Cry, the Beloved Country (1995)",4.25,1
Richard III (1995),3.7,4
Dead Presidents (1995),3.0,0
Restoration (1995),3.1875,0
Mortal Kombat (1995),2.5434782608695654,3
To Die For (1995),3.3125,4
How to Make an American Quilt (1995),3.066666666666667,0
Seven (a.k.a. Se7en) (1995),3.975369458128079,1
Pocahontas (1995),3.147058823529412,0
When Night Is Falling (1995),3.0,0
"Usual Suspects, The (1995)",4.237745098039214,1
Mighty Aphrodite (1995),3.4642857142857144,4
Lamerica (1994),5.0,5
"Big Green, The (1995)",2.333333333333333,3
Georgia (1995),4.0,1
Home for the Holidays (1995),3.0625,0
"Postman, The (Postino, Il) (1994)",4.027027027027027,1
"Indian in the Cupboard, The (1995)",3.2352941176470584,4
Eye for an Eye (1996),3.75,1
Mr. Holland's Opus (1995),3.70625,4
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),2.7142857142857144,0
Two if by Sea (1996),2.2,3
Bio-Dome (1996),2.532258064516129,3
Lawnmower Man 2: Beyond Cyberspace (1996),2.5,3
French Twist (Gazon maudit) (1995),3.4,4
Friday (1995),3.775,1
From Dusk Till Dawn (1996),3.5090909090909093,4
Fair Game (1995),1.7,2
Kicking and Screaming (1995),3.2142857142857144,4
"Misérables, Les (1995)",3.4615384615384617,4
Bed of Roses (1996),4.0,1
Big Bully (1996),2.2,3
Screamers (1995),3.4,4
Nico Icon (1995),4.0,1
"Crossing Guard, The (1995)",3.333333333333333,4
"Juror, The (1996)",2.764705882352941,0
"White Balloon, The (Badkonake sefid) (1995)",4.0,1
Things to Do in Denver When You're Dead (1995),3.1071428571428568,0
Antonia's Line (Antonia) (1995),3.875,1
Once Upon a Time... When We Were Colored (1995),3.0,0
Angels and Insects (1995),3.8571428571428568,1
White Squall (1996),3.966666666666667,1
Dunston Checks In (1996),2.5,3
Black Sheep (1996),3.15625,0
Nick of Time (1995),3.25,4
Mary Reilly (1996),2.625,0
Vampire in Brooklyn (1995),2.833333333333333,0
Beautiful Girls (1996),3.95,1
Broken Arrow (1996),3.023809523809524,0
In the Bleak Midwinter (1995),3.5,4
"Hate (Haine, La) (1995)",3.9,1
Heidi Fleiss: Hollywood Madam (1995),5.0,5
City Hall (1996),2.7857142857142856,0
Bottle Rocket (1996),3.782608695652174,1
Mr. Wrong (1996),2.4,3
Unforgettable (1996),3.0,0
Happy Gilmore (1996),3.4393939393939394,4
"Bridges of Madison County, The (1995)",3.282608695652174,4
Nobody Loves Me (Keiner liebt mich) (1994),4.0,1
Muppet Treasure Island (1996),3.3269230769230766,4
Catwalk (1996),4.0,1
Braveheart (1995),4.0316455696202524,1
Taxi Driver (1976),4.105769230769232,1
Rumble in the Bronx (Hont faan kui) (1995),3.5434782608695654,4
Before and After (1996),3.333333333333333,4
Anne Frank Remembered (1995),3.9,1
"Young Poisoner's Handbook, The (1995)",3.0,0
If Lucy Fell (1996),2.5,3
"Steal Big, Steal Little (1995)",3.0,0
"Boys of St. Vincent, The (1992)",4.0,1
Boomerang (1992),2.65625,0
Chungking Express (Chung Hing sam lam) (1994),4.375,5
Flirting With Disaster (1996),3.583333333333333,4
"NeverEnding Story III, The (1994)",2.0,3
Jupiter's Wife (1994),3.0,0
Pie in the Sky (1996),2.0,3
Jade (1995),2.833333333333333,0
Down Periscope (1996),2.9516129032258065,0
Man of the Year (1995),3.0,0
Up Close and Personal (1996),3.5,4
"Birdcage, The (1996)",3.494186046511628,4
"Brothers McMullen, The (1995)",3.333333333333333,4
Bad Boys (1995),3.2450980392156863,4
"Amazing Panda Adventure, The (1995)",3.333333333333333,4
"Basketball Diaries, The (1995)",3.466666666666667,4
"Awfully Big Adventure, An (1995)",5.0,5
Amateur (1994),2.0,3
Apollo 13 (1995),3.845771144278607,1
Rob Roy (1995),3.5454545454545454,4
"Addiction, The (1995)",1.5,2
Batman Forever (1995),2.916058394160584,0
Beauty of the Day (Belle de jour) (1967),3.875,1
Beyond Rangoon (1995),2.4166666666666665,3
Blue in the Face (1995),3.333333333333333,4
Canadian Bacon (1995),2.863636363636364,0
Casper (1995),2.806451612903226,0
Clockers (1995),2.8928571428571432,0
Congo (1995),2.8771929824561404,0
Crimson Tide (1995),3.6359223300970873,4
Crumb (1994),4.205882352941177,1
Desperado (1995),3.560606060606061,4
Devil in a Blue Dress (1995),3.321428571428572,4
Die Hard: With a Vengeance (1995),3.555555555555556,4
"Doom Generation, The (1995)",2.833333333333333,0
First Knight (1995),3.083333333333333,0
Free Willy 2: The Adventure Home (1995),2.4,3
Hackers (1995),3.2285714285714286,4
Jeffrey (1995),3.8333333333333335,1
Johnny Mnemonic (1995),2.679245283018868,0
Judge Dredd (1995),2.669354838709677,0
Jury Duty (1995),2.7,0
Kids (1995),3.975,1
Living in Oblivion (1995),4.307692307692308,1
Lord of Illusions (1995),2.75,0
Love & Human Remains (1993),1.0,2
Mad Love (1995),1.5,2
Mallrats (1995),3.4027777777777777,4
Mighty Morphin Power Rangers: The Movie (1995),2.264705882352941,3
Mute Witness (1994),3.5,4
Nadja (1994),3.5,4
"Net, The (1995)",3.040178571428572,0
Nine Months (1995),2.8229166666666665,0
Party Girl (1995),4.125,1
"Prophecy, The (1995)",3.458333333333333,4
Reckless (1995),3.0,0
Safe (1995),2.8,0
"Scarlet Letter, The (1995)",2.4166666666666665,3
Showgirls (1995),2.4714285714285715,3
Smoke (1995),3.6666666666666665,4
Something to Talk About (1995),3.1,0
Species (1995),2.6666666666666665,0
Strange Days (1995),3.25,4
"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",4.125,1
Three Wishes (1995),3.0,0
Total Eclipse (1995),3.0,0
"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",3.4318181818181817,4
Under Siege 2: Dark Territory (1995),2.716666666666667,0
Unstrung Heroes (1995),3.1666666666666665,0
Unzipped (1995),3.0,0
"Walk in the Clouds, A (1995)",3.4285714285714284,4
Waterworld (1995),2.9130434782608696,0
White Man's Burden (1995),3.1666666666666665,0
Wild Bill (1995),3.0,0
"Browning Version, The (1994)",3.5,4
Bushwhacked (1995),3.0,0
Burnt by the Sun (Utomlyonnye solntsem) (1994),3.8333333333333335,1
Before the Rain (Pred dozhdot) (1994),4.0,1
Before Sunrise (1995),4.041666666666667,1
Billy Madison (1995),3.326530612244898,4
"Babysitter, The (1995)",2.333333333333333,3
Boys on the Side (1995),3.4285714285714284,4
"Cure, The (1995)",3.0,0
Castle Freak (1995),3.0,0
Circle of Friends (1995),3.75,1
Clerks (1994),3.8557692307692313,1
Don Juan DeMarco (1995),3.6125,4
Disclosure (1994),3.5384615384615383,4
Drop Zone (1994),2.863636363636364,0
Destiny Turns on the Radio (1995),2.333333333333333,3
Death and the Maiden (1994),3.4285714285714284,4
Dolores Claiborne (1995),3.395833333333333,4
Dumb & Dumber (Dumb and Dumber) (1994),3.0601503759398496,0
Eat Drink Man Woman (Yin shi nan nu) (1994),3.8928571428571432,1
Exotica (1994),3.5,4
Exit to Eden (1994),2.588235294117647,3
Ed Wood (1994),3.678571428571429,4
French Kiss (1995),3.4777777777777783,4
Forget Paris (1995),3.3409090909090913,4
Far From Home: The Adventures of Yellow Dog (1995),4.0,1
"Goofy Movie, A (1995)",3.0,0
Hideaway (1995),2.375,3
Fluke (1995),4.0,1
Farinelli: il castrato (1994),3.6,4
Gordy (1995),3.0,0
Hoop Dreams (1994),4.293103448275862,1
Heavenly Creatures (1994),3.928571428571429,1
Houseguest (1994),3.1764705882352944,0
Immortal Beloved (1994),3.7222222222222223,1
Heavyweights (Heavy Weights) (1995),2.5,3
"Hunted, The (1995)",3.0,0
I.Q. (1994),3.453488372093023,4
Interview with the Vampire: The Vampire Chronicles (1994),3.458715596330275,4
Jefferson in Paris (1995),3.0,0
"Jerky Boys, The (1995)",2.071428571428572,3
Junior (1994),2.8285714285714287,0
Just Cause (1995),3.5,4
"Kid in King Arthur's Court, A (1995)",2.6,3
Kiss of Death (1995),3.2,0
Star Wars: Episode IV - A New Hope (1977),4.231075697211154,1
Little Women (1994),3.8809523809523814,1
"Little Princess, A (1995)",3.9047619047619047,1
Ladybird Ladybird (1994),4.0,1
Like Water for Chocolate (Como agua para chocolate) (1992),3.939393939393939,1
Legends of the Fall (1994),3.397058823529412,4
Major Payne (1995),2.9411764705882355,0
My Crazy Life (Mi vida loca) (1993),3.0,0
Love Affair (1994),3.4,4
Losing Isaiah (1995),3.5,4
"Madness of King George, The (1994)",3.758064516129033,1
Mary Shelley's Frankenstein (Frankenstein) (1994),2.946428571428572,0
Man of the House (1995),2.9285714285714284,0
Mixed Nuts (1994),2.0,3
Milk Money (1994),3.25,4
Miracle on 34th Street (1994),3.2236842105263164,4
Miami Rhapsody (1995),1.5,2
My Family (1995),3.0,0
Murder in the First (1995),4.076923076923077,1
Nobody's Fool (1994),3.7857142857142856,1
Nell (1994),3.3375,4
New Jersey Drive (1995),3.6666666666666665,4
Beyond Bedlam (1993),4.0,1
Nina Takes a Lover (1994),3.0,0
Natural Born Killers (1994),3.233695652173913,4
Only You (1994),3.5625,4
Once Were Warriors (1994),4.035714285714286,1
Poison Ivy II (1996),2.333333333333333,3
Outbreak (1995),3.4257425742574257,4
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),4.018796992481203,1
"Perez Family, The (1995)",3.0,0
"Pyromaniac's Love Story, A (1995)",3.0,0
Pulp Fiction (1994),4.197068403908795,1
Pushing Hands (Tui shou) (1992),2.0,3
Priest (1994),4.0,1
Quiz Show (1994),3.5185185185185186,4
Picture Bride (Bijo photo) (1994),4.0,1
"Queen Margot (Reine Margot, La) (1994)",3.2,0
"Quick and the Dead, The (1995)",2.953125,0
Roommates (1995),3.6666666666666665,4
Ready to Wear (Pret-A-Porter) (1994),2.833333333333333,0
Three Colors: Red (Trois couleurs: Rouge) (1994),4.21875,1
Three Colors: Blue (Trois couleurs: Bleu) (1993),3.8958333333333335,1
Three Colors: White (Trzy kolory: Bialy) (1994),4.025,1
Rent-a-Kid (1995),3.0,0
Relative Fear (1994),3.0,0
Stuart Saves His Family (1995),1.4444444444444444,2
"Swan Princess, The (1994)",3.333333333333333,4
"Secret of Roan Inish, The (1994)",3.75,1
"Specialist, The (1994)",3.0789473684210527,0
Stargate (1994),3.375,4
"Santa Clause, The (1994)",3.203703703703704,0
"Shawshank Redemption, The (1994)",4.4290220820189266,5
Shallow Grave (1994),3.6,4
Suture (1993),3.0,0
Strawberry and Chocolate (Fresa y chocolate) (1993),4.0,1
Swimming with Sharks (1995),3.55,4
"Sum of Us, The (1994)",4.0,1
National Lampoon's Senior Trip (1995),2.5,3
To Live (Huozhe) (1994),4.0,1
Tank Girl (1995),2.8235294117647056,0
Tales from the Crypt Presents: Demon Knight (1995),3.15,0
Star Trek: Generations (1994),3.3935185185185186,4
Tales from the Hood (1995),3.0,0
Tom & Viv (1994),3.0,0
Village of the Damned (1995),2.833333333333333,0
Tommy Boy (1995),3.78,1
Vanya on 42nd Street (1994),4.2,1
Underneath (1995),3.5,4
"Walking Dead, The (1995)",3.0,0
What's Eating Gilbert Grape (1993),3.7662337662337664,1
Virtuosity (1995),2.8421052631578947,0
While You Were Sleeping (1995),3.4693877551020407,4
"War, The (1994)",3.4,4
Double Happiness (1994),4.0,1
Muriel's Wedding (1994),3.272727272727273,4
"Baby-Sitters Club, The (1995)",2.9,0
Ace Ventura: Pet Detective (1994),3.040372670807453,0
"Adventures of Priscilla, Queen of the Desert, The (1994)",3.5972222222222223,4
Backbeat (1993),3.5,4
Bitter Moon (1992),3.5,4
Bullets Over Broadway (1994),3.583333333333333,4
Clear and Present Danger (1994),3.6045454545454554,4
"Client, The (1994)",3.3859649122807016,4
"Corrina, Corrina (1994)",3.1764705882352944,0
Crooklyn (1994),2.5,3
"Crow, The (1994)",3.609375,4
Cobb (1994),3.333333333333333,4
"Flintstones, The (1994)",2.357142857142857,3
Forrest Gump (1994),4.164133738601824,1
Four Weddings and a Funeral (1994),3.5194174757281558,4
Higher Learning (1995),2.6666666666666665,0
I Like It Like That (1994),3.0,0
I Love Trouble (1994),2.6875,0
It Could Happen to You (1994),3.0588235294117645,0
"Jungle Book, The (1994)",3.5294117647058822,4
"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",4.0,1
"Lion King, The (1994)",3.9418604651162785,1
Little Buddha (1993),3.25,4
"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",2.9166666666666665,0
"Mask, The (1994)",3.1847133757961785,0
Maverick (1994),3.5,4
Mrs. Parker and the Vicious Circle (1994),4.0,1
Naked Gun 33 1/3: The Final Insult (1994),3.060344827586207,0
"Paper, The (1994)",3.3095238095238093,4
Reality Bites (1994),2.761904761904762,0
