title,rating,clusters
Toy Story (1995),3.92093023255814,2
Jumanji (1995),3.4318181818181817,2
Grumpier Old Men (1995),3.2596153846153846,3
Waiting to Exhale (1995),2.357142857142857,0
Father of the Bride Part II (1995),3.071428571428572,4
Heat (1995),3.9460784313725488,5
Sabrina (1995),3.185185185185185,4
Tom and Huck (1995),2.875,2
Sudden Death (1995),3.125,1
GoldenEye (1995),3.496212121212121,5
"American President, The (1995)",3.6714285714285713,0
Dracula: Dead and Loving It (1995),2.421052631578948,4
Balto (1995),3.125,2
Nixon (1995),3.8333333333333335,3
Cutthroat Island (1995),3.0,0
Casino (1995),3.9268292682926833,2
Sense and Sensibility (1995),3.776119402985074,3
Four Rooms (1995),3.7,4
Ace Ventura: When Nature Calls (1995),2.727272727272727,4
Money Train (1995),2.5,1
Get Shorty (1995),3.49438202247191,0
Copycat (1995),3.2222222222222223,0
Assassins (1995),3.125,5
Powder (1995),3.125,3
Leaving Las Vegas (1995),3.625,3
Othello (1995),3.5,3
Now and Then (1995),3.333333333333333,2
Persuasion (1995),4.227272727272728,3
"City of Lost Children, The (Cité des enfants perdus, La) (1995)",4.0131578947368425,2
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.0,2
Dangerous Minds (1995),3.1842105263157894,3
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),3.983050847457627,5
Babe (1995),3.65234375,2
Dead Man Walking (1995),3.835820895522388,2
It Takes Two (1995),2.125,1
Clueless (1995),3.2932692307692313,4
"Cry, the Beloved Country (1995)",4.25,3
Richard III (1995),3.7,3
Dead Presidents (1995),3.0,1
Restoration (1995),3.1875,3
Mortal Kombat (1995),2.5434782608695654,1
To Die For (1995),3.3125,0
How to Make an American Quilt (1995),3.066666666666667,3
Seven (a.k.a. Se7en) (1995),3.975369458128079,1
Pocahontas (1995),3.147058823529412,0
When Night Is Falling (1995),3.0,2
"Usual Suspects, The (1995)",4.237745098039214,5
Mighty Aphrodite (1995),3.4642857142857144,0
Lamerica (1994),5.0,2
"Big Green, The (1995)",2.333333333333333,1
Georgia (1995),4.0,3
Home for the Holidays (1995),3.0625,3
"Postman, The (Postino, Il) (1994)",4.027027027027027,0
"Indian in the Cupboard, The (1995)",3.2352941176470584,2
Eye for an Eye (1996),3.75,3
Mr. Holland's Opus (1995),3.70625,3
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),2.7142857142857144,4
Two if by Sea (1996),2.2,4
Bio-Dome (1996),2.532258064516129,4
Lawnmower Man 2: Beyond Cyberspace (1996),2.5,5
French Twist (Gazon maudit) (1995),3.4,4
Friday (1995),3.775,4
From Dusk Till Dawn (1996),3.5090909090909093,1
Fair Game (1995),1.7,1
Kicking and Screaming (1995),3.2142857142857144,0
"Misérables, Les (1995)",3.4615384615384617,3
Bed of Roses (1996),4.0,3
Big Bully (1996),2.2,0
Screamers (1995),3.4,5
Nico Icon (1995),4.0,3
"Crossing Guard, The (1995)",3.333333333333333,1
"Juror, The (1996)",2.764705882352941,3
"White Balloon, The (Badkonake sefid) (1995)",4.0,2
Things to Do in Denver When You're Dead (1995),3.1071428571428568,0
Antonia's Line (Antonia) (1995),3.875,0
Once Upon a Time... When We Were Colored (1995),3.0,2
Angels and Insects (1995),3.8571428571428568,3
White Squall (1996),3.966666666666667,1
Dunston Checks In (1996),2.5,1
Black Sheep (1996),3.15625,4
Nick of Time (1995),3.25,1
Mary Reilly (1996),2.625,3
Vampire in Brooklyn (1995),2.833333333333333,0
Beautiful Girls (1996),3.95,0
Broken Arrow (1996),3.023809523809524,5
In the Bleak Midwinter (1995),3.5,0
"Hate (Haine, La) (1995)",3.9,2
Heidi Fleiss: Hollywood Madam (1995),5.0,3
City Hall (1996),2.7857142857142856,3
Bottle Rocket (1996),3.782608695652174,1
Mr. Wrong (1996),2.4,4
Unforgettable (1996),3.0,5
Happy Gilmore (1996),3.4393939393939394,4
"Bridges of Madison County, The (1995)",3.282608695652174,3
Nobody Loves Me (Keiner liebt mich) (1994),4.0,4
Muppet Treasure Island (1996),3.3269230769230766,2
Catwalk (1996),4.0,3
Braveheart (1995),4.0316455696202524,0
Taxi Driver (1976),4.105769230769232,0
Rumble in the Bronx (Hont faan kui) (1995),3.5434782608695654,1
Before and After (1996),3.333333333333333,3
Anne Frank Remembered (1995),3.9,3
"Young Poisoner's Handbook, The (1995)",3.0,2
If Lucy Fell (1996),2.5,1
"Steal Big, Steal Little (1995)",3.0,4
"Boys of St. Vincent, The (1992)",4.0,3
Boomerang (1992),2.65625,4
Chungking Express (Chung Hing sam lam) (1994),4.375,0
Flirting With Disaster (1996),3.583333333333333,4
"NeverEnding Story III, The (1994)",2.0,2
Jupiter's Wife (1994),3.0,2
